Timestamp,Temperature, TemperatureDelta, MappedTemperature
103.16,26.49633,0,26.99896
103.18,26.49633,0,26.99896
103.2,26.49633,0,26.99896
103.22,26.49633,0,26.99896
103.24,26.49633,0,26.99896
103.26,26.49633,0,26.99896
103.28,26.49633,0,26.99896
103.3,26.49633,0,26.99896
103.32,26.49633,0,26.99896
103.34,26.49633,0,26.99896
103.36,26.49633,0,26.99896
103.38,26.49633,0,26.99896
103.4,26.49633,0,26.99896
103.42,26.49633,0,26.99896
103.44,26.49633,0,26.99896
103.46,26.49633,0,26.99896
103.48,26.49633,0,26.99896
103.5,26.49633,0,26.99896
103.52,26.49633,0,26.99896
103.54,26.49633,0,26.99896
103.56,26.49633,0,26.99896
103.58,26.49633,0,26.99896
103.6,26.49633,0,26.99896
103.62,26.49633,0,26.99896
103.64,26.49633,0,26.99896
103.66,26.49633,0,26.99896
103.68,26.49633,0,26.99896
103.7,26.49633,0,26.99896
103.72,26.49633,0,26.99896
103.74,26.49633,0,26.99896
103.76,26.49633,0,26.99896
103.78,26.49633,0,26.99896
103.8,26.49633,0,26.99896
103.82,26.49633,0,26.99896
103.84,26.49633,0,26.99896
103.86,26.49633,0,26.99896
103.88,26.49633,0,26.99896
103.9,26.49633,0,26.99896
103.92,26.49633,0,26.99896
103.94,26.49633,0,26.99896
103.96,26.49633,0,26.99896
103.98,26.49633,0,26.99896
104,26.49633,0,26.99896
104.02,26.49633,0,26.99896
104.04,26.49633,0,26.99896
104.06,26.49633,0,26.99896
104.08,26.49633,0,26.99896
104.1,26.49633,0,26.99896
104.12,26.49633,0,26.99896
104.14,26.49633,0,26.99896
104.16,26.49633,0,26.99896
104.18,26.49633,0,26.99896
104.2,26.49633,0,26.99896
104.22,26.49633,0,26.99896
104.24,26.49633,0,26.99896
104.26,26.49633,0,26.99896
104.28,26.49633,0,26.99896
104.3,26.49633,0,26.99896
104.32,26.49633,0,26.99896
104.34,26.49633,0,26.99896
104.36,26.49633,0,26.99896
104.38,26.49633,0,26.99896
104.4,26.49633,0,26.99896
104.42,26.49633,0,26.99896
104.44,26.49633,0,26.99896
104.46,26.49633,0,26.99896
104.48,26.49633,0,26.99896
104.5,26.49633,0,26.99896
104.52,26.49633,0,26.99896
104.54,26.49633,0,26.99896
104.56,26.49633,0,26.99896
104.58,26.49633,0,26.99896
104.6,26.49633,0,26.99896
104.62,26.49633,0,26.99896
104.64,26.49633,0,26.99896
104.66,26.49633,0,26.99896
104.68,26.49633,0,26.99896
104.7,26.49633,0,26.99896
104.72,26.49633,0,26.99896
104.74,26.49633,0,26.99896
104.76,26.49633,0,26.99896
104.78,26.49633,0,26.99896
104.8,26.49633,0,26.99896
104.82,26.49633,0,26.99896
104.84,26.49633,0,26.99896
104.86,26.49633,0,26.99896
104.88,26.49633,0,26.99896
104.9,26.49633,0,26.99896
104.92,26.49633,0,26.99896
104.94,26.49633,0,26.99896
104.96,26.49633,0,26.99896
104.98,26.49633,0,26.99896
105,26.49633,0,26.99896
105.02,26.49633,0,26.99896
105.04,26.49633,0,26.99896
105.06,26.49633,0,26.99896
105.08,26.49633,0,26.99896
105.1,26.49633,0,26.99896
105.12,26.49633,0,26.99896
105.14,26.49633,0,26.99896
105.16,26.49633,0,26.99896
105.18,26.49633,0,26.99896
105.2,26.49633,0,26.99896
105.22,26.49633,0,26.99896
105.24,26.49633,0,26.99896
105.26,26.49633,0,26.99896
105.28,26.49633,0,26.99896
105.3,26.49633,0,26.99896
105.32,26.49633,0,26.99896
105.34,26.49633,0,26.99896
105.36,26.49633,0,26.99896
105.38,26.49633,0,26.99896
105.4,26.49633,0,26.99896
105.42,26.49633,0,26.99896
105.44,26.49633,0,26.99896
105.46,26.49633,0,26.99896
105.48,26.49633,0,26.99896
105.5,26.49633,0,26.99896
105.52,26.49633,0,26.99896
105.54,26.49633,0,26.99896
105.56,26.49633,0,26.99896
105.58,26.49633,0,26.99896
105.6,26.49633,0,26.99896
105.62,26.49633,0,26.99896
105.64,26.49633,0,26.99896
105.66,26.49633,0,26.99896
105.68,26.49633,0,26.99896
105.7,26.49633,0,26.99896
105.72,26.49633,0,26.99896
105.74,26.49633,0,26.99896
105.76,26.49633,0,26.99896
105.78,26.49633,0,26.99896
105.8,26.49633,0,26.99896
105.82,26.49633,0,26.99896
105.84,26.49633,0,26.99896
105.86,26.49633,0,26.99896
105.88,26.49633,0,26.99896
105.9,26.49633,0,26.99896
105.92,26.49633,0,26.99896
105.94,26.49633,0,26.99896
105.96,26.49633,0,26.99896
105.98,26.49633,0,26.99896
106,26.49633,0,26.99896
106.02,26.49633,0,26.99896
106.04,26.49633,0,26.99896
106.06,26.49633,0,26.99896
106.08,26.49633,0,26.99896
106.1,26.49633,0,26.99896
106.12,26.49633,0,26.99896
106.14,26.49633,0,26.99896
106.16,26.49633,0,26.99896
